Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
BARRANCA,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,CARRETERA PANAMERICANA NORTE KM. 193. BARRIO DE ATAHUALPA,012355428,15.47
PARAMONGA,CORPORATION TOCJUN S.A.C.,FRANCISCO VIDAL NRO. 1022,012361343/012352063,15.49
BARRANCA,GARCIA ALZAMORA NESTOR JAVIER,LOTE DE TERRENO 259 PAMPAS DE VELARDE,,15.49
SUPE PUERTO,PETRO CENTRO SAN PEDRO S.A.C.,BARRIO LA PALMA - ALTURA KM. 191 PANAMERICANA NORTE,962576413/995615658,15.59
BARRANCA,GRIFO BARRANCA VIP S.A.C.,"PARTE DEL SUB LOTE 1 Y SUB LOTE 2, CARRETERA PANAMERICANA NORTE KM. 191+506.50",012355014/939342714,15.59
SUPE,SUPER ESTACION,"SECTOR HUARANGAL CHICO, UC 09063, CARRETERA PANAMERICA NORTE",012364699/943834038,15.59
BARRANCA,PRISER INVERSIONES SAC,SUB LOTE 2B-1 DEL SUB LOTE 2 B DEL SUBLOTE 2 - CARRETERA PANAMERICANA NORTE N° 1651,942924496,15.69
SUPE,SERGAS,CARRETERA PANAMERICANA NORTE KM. 185,932500787,15.79
SUPE PUERTO,GRIFO TEODOLINDA E.I.R.L.,"CARRETERA PANAMERICANA NORTE, LA PALMA, SECTOR PAMPA VELARDE",996038102,15.89
SUPE,CARAL VIP E.I.R.L.,CARRETERA A CARAL SN LOTES 22 AL 29 PREDIO RURAL SAN NICOLAS 10 DE MAYO EL MOLINO,,15.99
SUPE PUERTO,TERPEL PERU S.A.C.,"CARRETERA PANAMERICANA NORTE KM 187 + 932.5, MANZANA URBANA 001-SUB LOTE 1, AA.HH. LETICIA",916419844,15.99
SUPE,INVERSIONES SMITH SPP E.I.R.L.,CARRETERA A LA CAMPIÑA (PROLONGACION AV. BOLOGNESI S/N UC08932) - SECTOR PAMAPA DE ANTIVAL,968406344,15.99
BARRANCA,MARIANO DUEÑAS WILSON ELICEO,SECTOR PAYCUAN EPS NUEVA ESPERANZA NUMERO DE PARCELA 59 CODIGO CATASTRAL 8 1958810 03536,941808781,16.4
BARRANCA,ESTACION DE SERVICIOS PASO DE LOS ANDES SAC,"MZ A, LOTE 01 - CP LAS GARDENIAS (COSTADO DE PARQUE LAS GARDENIAS)",,16.4
BARRANCA,GRIFO BARRANCA VIP S.A.C.,"CARRETERA NUEVA PANAMERICANA NORTE S/N KM. 193+800, PARCELA CHIU CHIU, NUEVA ESPERANZA",012365707/939342714,16.4
PATIVILCA,MEGA ESTACION DE SERVICIOS LOS DELFINES S.A.,PREDIO RURAL 8-1958815-016846- SECTOR JAZMIN PROYECTO PREDIOS DE PATIVILCA,013603158/994979790,16.48
BARRANCA,SILYCARP INVERSIONES SAC,PRIMER OVALO N°100 (ANTES CHIU CHIU A. LOTE “B”),999226232,16.59
PARAMONGA,GRIFO EL RUISEÑOR E.I.R.L.,"AUTOPISTA PATIVILCA – HUARAZ, VALLE FORTALEZA, PREDIO LA ESPERANZA, SECTOR SHAURA",992275837/988669612,16.6
SUPE,ESTACION DE SERVICIOS CALETA S.A.C.,"PANAMERICANA NORTE KM 182, MZ. A LOTE N° 2, LOS HUACOS CHIRIMOYO EL PORVENIR",922529197,16.79
BARRANCA,SILYCARP INVERSIONES SAC,"JR. LAURIAMA MZ B LOTES 3, 4, 5, 6 Y 7 FUNDO PATILLO",942924496,16.9
PARAMONGA,ESTACION DE SERVICIOS SAN ANTONIO SAC,CARRETERA PATIVILCA-CRUZ KM. 12.5 CENTRO POBLADO DE TUNAN-PAPAMONGA-BARRANCA-LIMA,999913166/943788795,16.95
PATIVILCA,GRIFO SAN IGNACIO SAC,CALLE JAZMIN N° 460 - 462,943413879,16.95
PATIVILCA,ESTACION DE SERVICIO PATIVILCA SAC,JR. SAN MARTIN S/N CARRETERA PANAMERICANA NORTE KM. 210,,16.99
PARAMONGA,MULTISERVICIOS LIM TRANSPOR SAC,CARRETERA CAMINO A HUARAZ - SAN JUAN DE TUNAN,989508620/930850429,16.99
BARRANCA,INVERSIONES DE ABASTECIMIENTO Y SERVICIO AUTOMOTRIZ SIERRA S.R.L.,JR. RAMON CASTILLA MARQUESADO N° 1290,013556150,16.99
SUPE,MULTI SERVICIO GASO CENTRO POMPEYO S.A.C,PANAMERICANA NORTE KM 190+400 MT,996627040/972630901,17.0
SUPE,CORPORATION WILCARDIE S.A.C.,CARRETERA PANAMERICANA NORTE KM 179,,17.2
BARRANCA,REPRESENTACIONES 4.L.L. S.A.C.,PANAMERICANA NORTE KM. 198,949415445,17.29
SUPE,MULTISERVICIOS LUCHINS E.I.R.L.,CARRETERA PANAMERICANA NORTE SUB LOTE D UC 120645 SECTOR LA MINKA,015065056,17.39
BARRANCA,COESTI S.A,AV. RAMON CASTILLA N° 921,012033100/012080100/961606777,17.59
BARRANCA,COESTI S.A,AV. CARRETERA PANAMERICANA NORTE KM. 196 (ANTES CARRETERA PANAMERICANA NORTE INTERSECCION CON LA AV. A),012033100/012080100/978854779,17.59
SUPE,ESTACION DE SERVICIOS HERCO SAC,CARRETERA PANAMERICANA NORTE KM 180.100,960151755/937283989,17.9
SUPE,COESTI S.A.,PANAMERICANA NORTE KM. 185,012080100/2033100/978871113,17.99
PARAMONGA,CORPORATION TOCJUN S.A.C.,FRANCISCO VIDAL NRO. 1022,012361343/012352063,14.39
SUPE,SUPER ESTACION,"SECTOR HUARANGAL CHICO, UC 09063, CARRETERA PANAMERICA NORTE",012364699/943834038,14.39
BARRANCA,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,CARRETERA PANAMERICANA NORTE KM. 193. BARRIO DE ATAHUALPA,012355428,14.39
BARRANCA,GARCIA ALZAMORA NESTOR JAVIER,LOTE DE TERRENO 259 PAMPAS DE VELARDE,,14.39
SUPE PUERTO,PETRO CENTRO SAN PEDRO S.A.C.,BARRIO LA PALMA - ALTURA KM. 191 PANAMERICANA NORTE,962576413/995615658,14.49
BARRANCA,GRIFO BARRANCA VIP S.A.C.,"PARTE DEL SUB LOTE 1 Y SUB LOTE 2, CARRETERA PANAMERICANA NORTE KM. 191+506.50",012355014/939342714,14.49
BARRANCA,PRISER INVERSIONES SAC,SUB LOTE 2B-1 DEL SUB LOTE 2 B DEL SUBLOTE 2 - CARRETERA PANAMERICANA NORTE N° 1651,942924496,14.55
SUPE PUERTO,GRIFO TEODOLINDA E.I.R.L.,"CARRETERA PANAMERICANA NORTE, LA PALMA, SECTOR PAMPA VELARDE",996038102,14.89
SUPE PUERTO,INVERSIONES PETRONOR E.I.R.L,CARRETERA PANAMERICANA NORTE KM. 187,012360505/977720815,14.89
SUPE,SERGAS,CARRETERA PANAMERICANA NORTE KM. 185,932500787,14.99
SUPE PUERTO,TERPEL PERU S.A.C.,"CARRETERA PANAMERICANA NORTE KM 187 + 932.5, MANZANA URBANA 001-SUB LOTE 1, AA.HH. LETICIA",916419844,14.99
SUPE,INVERSIONES SMITH SPP E.I.R.L.,CARRETERA A LA CAMPIÑA (PROLONGACION AV. BOLOGNESI S/N UC08932) - SECTOR PAMAPA DE ANTIVAL,968406344,14.99
PARAMONGA,GRIFO EL RUISEÑOR E.I.R.L.,"AUTOPISTA PATIVILCA – HUARAZ, VALLE FORTALEZA, PREDIO LA ESPERANZA, SECTOR SHAURA",992275837/988669612,15.0
PATIVILCA,MEGA ESTACION DE SERVICIOS LOS DELFINES S.A.,PREDIO RURAL 8-1958815-016846- SECTOR JAZMIN PROYECTO PREDIOS DE PATIVILCA,013603158/994979790,15.08
BARRANCA,ESTACION DE SERVICIOS PASO DE LOS ANDES SAC,"MZ A, LOTE 01 - CP LAS GARDENIAS (COSTADO DE PARQUE LAS GARDENIAS)",,15.12
BARRANCA,GRIFO BARRANCA VIP S.A.C.,"CARRETERA NUEVA PANAMERICANA NORTE S/N KM. 193+800, PARCELA CHIU CHIU, NUEVA ESPERANZA",012365707/939342714,15.15
BARRANCA,MARIANO DUEÑAS WILSON ELICEO,SECTOR PAYCUAN EPS NUEVA ESPERANZA NUMERO DE PARCELA 59 CODIGO CATASTRAL 8 1958810 03536,941808781,15.2
BARRANCA,SILYCARP INVERSIONES SAC,PRIMER OVALO N°100 (ANTES CHIU CHIU A. LOTE “B”),999226232,15.29
PATIVILCA,GRIFO SAN IGNACIO SAC,CALLE JAZMIN N° 460 - 462,943413879,15.29
SUPE,CARAL VIP E.I.R.L.,CARRETERA A CARAL SN LOTES 22 AL 29 PREDIO RURAL SAN NICOLAS 10 DE MAYO EL MOLINO,,15.29
PATIVILCA,ESTACION DE SERVICIO PATIVILCA SAC,JR. SAN MARTIN S/N CARRETERA PANAMERICANA NORTE KM. 210,,15.33
BARRANCA,SILYCARP INVERSIONES SAC,"JR. LAURIAMA MZ B LOTES 3, 4, 5, 6 Y 7 FUNDO PATILLO",942924496,15.35
PARAMONGA,MULTISERVICIOS LIM TRANSPOR SAC,CARRETERA CAMINO A HUARAZ - SAN JUAN DE TUNAN,989508620/930850429,15.49
PARAMONGA,ESTACION DE SERVICIOS SAN ANTONIO SAC,CARRETERA PATIVILCA-CRUZ KM. 12.5 CENTRO POBLADO DE TUNAN-PAPAMONGA-BARRANCA-LIMA,999913166/943788795,15.59
BARRANCA,INVERSIONES DE ABASTECIMIENTO Y SERVICIO AUTOMOTRIZ SIERRA S.R.L.,JR. RAMON CASTILLA MARQUESADO N° 1290,013556150,15.59
